player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Awer Mabil,MF,Australia,27-091,Cádiz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Axel Disasi,DF,France,24-279,Monaco,1998,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07
Axel Witsel,MF,Belgium,33-337,Atlético Madrid,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02
Ayase Ueda,FW,Japan,24-096,Cercle Brugge,1998,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Aymeric Laporte,DF,Spain,28-202,Manchester City,1994,3,3,300,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
Aziz Behich,DF,Australia,31-364,Dundee United,1990,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03
Azzedine Ounahi,MF,Morocco,22-240,Angers,2000,6,6,533,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.07,0.08,0.16,0.07,0.16
Aïssa Laïdouni,MF,Tunisia,26-002,Ferencváros,1996,3,3,243,2.7,0,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,0.1,0.1,0.4,0.6,0.05,0.16,0.21,0.05,0.21
Baba Rahman,DF,Ghana,28-166,Reading,1994,3,2,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.15,0.15,0.00,0.15
Badr Banoun,DF,Morocco,29-076,Qatar SC,1993,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bailey Wright,DF,Australia,30-140,Sunderland,1992,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bamba Dieng,FW,Senegal,22-267,Marseille,2000,4,0,100,1.1,1,0,1,0,0,0,0,0.90,0.00,0.90,0.90,0.90,0.5,0.5,0.1,0.6,0.45,0.05,0.50,0.45,0.50
Bartosz Bereszyński,DF,Poland,30-156,Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bassam Al-Rawi,DF,Qatar,24-364,Al Duhail SC,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03
Ben Davies,DF,Wales,29-235,Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.00,0.13,0.13,0.13
