player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Nicola Zalewski,MF,Poland,20-326,Roma,2002,2,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Nicolas Jackson,FW,Senegal,21-178,Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Nicolas Nkoulou,DF,Cameroon,32-263,Aris,1990,2,2,180,2.0,0,1,0,0,0,1,0,0.00,0.50,0.50,0.00,0.50,0.3,0.3,0.0,0.3,0.14,0.00,0.14,0.14,0.14
Nicolás De La Cruz,MF,Uruguay,25-197,River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09
Nicolás Otamendi,DF,Argentina,34-306,Benfica,1988,6,6,570,6.3,0,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,0.2,0.2,0.01,0.03,0.03,0.01,0.03
Nicolás Tagliafico,DF,Argentina,30-106,Lyon,1992,5,2,254,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.2,0.41,0.06,0.47,0.41,0.47
Niklas Süle,DF,Germany,27-103,Dortmund,1995,3,3,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04
Nikola Milenković,DF,Serbia,25-064,Fiorentina,1997,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06
Nikola Vlašić,FW,Croatia,25-072,Torino,1997,5,1,179,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.29,0.00,0.29,0.29,0.29
Noa Lang,MF,Netherlands,23-181,Club Brugge,1999,1,0,8,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,,,,,
Noah Okafor,FW,Switzerland,22-205,RB Salzburg,2000,3,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.05,0.09,0.14,0.05,0.14
Nouhou Tolo,DF,Cameroon,25-175,Seattle,1997,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Noussair Mazraoui,DF,Morocco,25-031,Bayern Munich,1997,5,5,365,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.01,0.04,0.04,0.04
Nuno Mendes,DF,Portugal,20-179,Paris S-G,2002,1,1,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04
Néstor Araujo,DF,Mexico,31-108,América,1991,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Olivier Giroud,FW,France,36-076,Milan,1986,5,5,379,4.2,4,0,4,0,0,0,0,0.95,0.00,0.95,0.95,0.95,3.3,3.3,0.1,3.5,0.79,0.04,0.83,0.79,0.83
Olivier Ntcham,MF,Cameroon,26-309,Swansea City,1996,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.16,0.09,0.25,0.16,0.25
Orbelín Pineda,MF,Mexico,26-266,AEK Athens,1996,1,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.38,0.07,0.45,0.38,0.45
Osman Bukari,MF,Ghana,24-002,Red Star,1998,2,0,59,0.7,1,0,1,0,0,0,0,1.53,0.00,1.53,1.53,1.53,0.5,0.5,0.1,0.6,0.76,0.09,0.85,0.76,0.85
Otávio,MF,Portugal,27-309,Porto,1995,3,3,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.05,0.17,0.23,0.05,0.23
Ousmane Dembélé,FW,France,25-214,Barcelona,1997,6,5,393,4.4,0,2,0,0,0,1,0,0.00,0.46,0.46,0.00,0.46,0.5,0.5,1.6,2.1,0.11,0.38,0.49,0.11,0.49
Pablo Sarabia,FW,Spain,30-218,Paris S-G,1992,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,,,,,
Paik Seung-ho,MF,Korea Republic,25-273,Jeonbuk,1997,1,0,26,0.3,1,0,1,0,0,0,0,3.46,0.00,3.46,3.46,3.46,0.0,0.0,0.0,0.0,0.15,0.00,0.15,0.15,0.15
Pape Abou Cissé,DF,Senegal,27-092,Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Pape Gueye,MF,Senegal,23-325,Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.07,0.11,0.18,0.07,0.18
Pape Matar Sarr,MF,Senegal,20-092,Tottenham,2002,2,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.18,0.05,0.23,0.18,0.23
Papu Gómez,MF,Argentina,34-303,Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03
Pathé Ciss,MF,Senegal,28-274,Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
Pau Torres,DF,Spain,25-333,Villarreal,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Paulo Dybala,FW,Argentina,29-030,Roma,1993,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,1.03,1.03,0.00,1.03
Pedri,MF,Spain,20-020,Barcelona,2002,4,4,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.22,0.22,0.00,0.22
Pedro,FW,Brazil,25-178,Flamengo,1997,2,0,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,1.39,0.00,1.39,1.39,1.39
Pepe,DF,Portugal,39-292,Porto,1983,4,4,360,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.4,0.4,0.0,0.4,0.11,0.00,0.11,0.11,0.11
Pervis Estupiñán,DF,Ecuador,24-328,Brighton,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.02,0.09,0.11,0.02,0.11
Phil Foden,FW,England,22-201,Manchester City,2000,4,3,258,2.9,1,2,1,0,0,0,0,0.35,0.70,1.05,0.35,1.05,1.1,1.1,0.6,1.6,0.38,0.20,0.57,0.38,0.57
Piero Hincapié,DF,Ecuador,20-340,Leverkusen,2002,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Pierre Højbjerg,MF,Denmark,27-132,Tottenham,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
Pierre Kunde,MF,Cameroon,27-142,Olympiacos,1995,2,2,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.15,0.05,0.20,0.15,0.20
Piotr Zieliński,MF,Poland,28-209,Napoli,1994,4,4,328,3.6,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.6,0.6,0.4,1.0,0.16,0.11,0.26,0.16,0.26
Przemysław Frankowski,MF,Poland,27-247,Lens,1995,4,3,240,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.01,0.09,0.11,0.01,0.11
Rafael Leão,FW,Portugal,23-188,Milan,1999,5,0,88,1.0,2,0,2,0,0,0,0,2.05,0.00,2.05,2.05,2.05,0.4,0.4,0.2,0.6,0.42,0.16,0.57,0.42,0.57
Raheem Sterling,FW,England,28-007,Chelsea,1994,3,2,149,1.7,1,1,1,0,0,0,0,0.60,0.60,1.21,0.60,1.21,0.4,0.4,0.1,0.5,0.22,0.09,0.31,0.22,0.31
Ramin Rezaeian,DF,IR Iran,32-269,Sepahan,1990,2,2,180,2.0,1,0,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50,0.3,0.3,0.3,0.5,0.13,0.14,0.27,0.13,0.27
Randal Kolo Muani,FW,France,24-010,Eint Frankfurt,1998,2,1,102,1.1,1,0,1,0,0,0,0,0.88,0.00,0.88,0.88,0.88,0.7,0.7,0.0,0.7,0.58,0.00,0.58,0.58,0.58
Raphaël Guerreiro,DF,Portugal,28-358,Dortmund,1993,4,3,279,3.1,1,2,1,0,0,0,0,0.32,0.65,0.97,0.32,0.97,0.4,0.4,0.6,1.0,0.12,0.19,0.31,0.12,0.31
Raphaël Varane,DF,France,29-234,Manchester Utd,1993,5,5,406,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08
Raphinha,FW,Brazil,26-001,Barcelona,1996,5,4,315,3.5,0,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,1.2,1.2,1.3,2.5,0.35,0.38,0.72,0.35,0.72
Rasmus Nissen,DF,Denmark,25-157,Leeds United,1997,3,3,224,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Raúl Jiménez,FW,Mexico,31-224,Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Remo Freuler,MF,Switzerland,30-244,Nott'ham Forest,1992,4,4,323,3.6,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,0.5,0.5,0.0,0.5,0.14,0.00,0.14,0.14,0.14
Renato Steffen,FW,Switzerland,31-042,Lugano,1991,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ricardo Horta,FW,Portugal,28-091,Braga,1994,3,1,119,1.3,1,0,1,0,0,0,0,0.76,0.00,0.76,0.76,0.76,0.8,0.8,0.1,0.8,0.58,0.05,0.63,0.58,0.63
Ricardo Rodríguez,DF,Switzerland,30-112,Torino,1992,4,4,359,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04
Richarlison,FW,Brazil,25-219,Tottenham,1997,4,4,323,3.6,3,0,3,0,0,0,0,0.84,0.00,0.84,0.84,0.84,2.1,2.1,1.0,3.1,0.59,0.27,0.86,0.59,0.86
Richie Laryea,DF,Canada,27-342,Toronto FC,1995,3,2,160,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.04,0.30,0.34,0.04,0.34
Riley McGree,FW,Australia,24-043,Middlesbrough,1998,4,4,265,2.9,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.1,0.1,0.6,0.8,0.05,0.22,0.27,0.05,0.27
Ritsu Doan,FW,Japan,24-182,Freiburg,1998,4,2,217,2.4,2,0,2,0,0,0,0,0.83,0.00,0.83,0.83,0.83,0.5,0.5,0.2,0.7,0.21,0.07,0.28,0.21,0.28
Riyadh Sharahili,MF,Saudi Arabia,29-231,Abha,1993,1,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05
Roan Wilson,MF,Costa Rica,20-228,Municipal Grecia,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Robert Lewandowski,FW,Poland,34-116,Barcelona,1988,4,4,360,4.0,2,1,1,1,2,0,0,0.50,0.25,0.75,0.25,0.50,2.9,1.4,0.4,1.8,0.73,0.10,0.83,0.34,0.44
Robert Skov,DF,Denmark,26-209,Hoffenheim,1996,1,0,22,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Roberto Alvarado,FW,Mexico,24-099,Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Rodri,DF,Spain,26-176,Manchester City,1996,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.04,0.05,0.01,0.05
Rodrigo Bentancur,MF,Uruguay,25-173,Tottenham,1997,3,3,213,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.8,0.26,0.06,0.32,0.26,0.32
Rodrigo De Paul,MF,Argentina,28-205,Atlético Madrid,1994,6,6,498,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.14,0.04,0.19,0.14,0.19
Rodrygo,MF,Brazil,21-340,Real Madrid,2001,5,1,181,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.4,0.4,0.4,0.9,0.26,0.25,0.52,0.26,0.52
Rogelio Funes Mori,FW,Mexico,31-285,Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.23,0.00,1.23,1.23,1.23
Romain Saïss,DF,Morocco,32-264,Beşiktaş,1990,6,6,466,5.2,1,0,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,0.8,0.8,0.0,0.8,0.16,0.00,0.16,0.16,0.16
Romario Ibarra,MF,Ecuador,28-082,Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.19,0.00,0.19,0.19,0.19
Romelu Lukaku,FW,Belgium,29-216,Inter,1993,2,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.0,1.8,2.84,0.06,2.90,2.84,2.90
Roozbeh Cheshmi,DF,IR Iran,29-144,Esteghlal,1993,2,1,58,0.6,1,0,1,0,0,0,0,1.55,0.00,1.55,1.55,1.55,0.1,0.1,0.0,0.1,0.08,0.00,0.08,0.08,0.08
Ruben Vargas,FW,Switzerland,24-132,Augsburg,1998,4,4,285,3.2,0,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,0.3,0.3,0.6,0.9,0.11,0.19,0.30,0.11,0.30
Rubin Colwill,MF,Wales,20-232,Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.21,0.00,0.21,0.21,0.21
Ró-Ró,DF,Qatar,32-131,Al Sadd SC,1990,3,3,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
Rónald Matarrita,DF,Costa Rica,28-159,FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Rúben Dias,DF,Portugal,25-215,Manchester City,1997,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Rúben Neves,MF,Portugal,25-277,Wolves,1997,5,4,268,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04
Saad Al Sheeb,GK,Qatar,32-299,Al Sadd SC,1990,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Sadegh Moharrami,DF,IR Iran,26-289,Dinamo Zagreb,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Saeid Ezatolahi,MF,IR Iran,26-075,Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.08,0.12,0.04,0.12
Saleh Al-Shehri,FW,Saudi Arabia,29-044,Al-Hilal,1993,3,3,223,2.5,1,0,1,0,0,1,0,0.40,0.00,0.40,0.40,0.40,0.1,0.1,0.1,0.2,0.03,0.05,0.09,0.03,0.09
Salem Al-Dawsari,MF,Saudi Arabia,31-118,Al-Hilal,1991,3,3,270,3.0,2,0,2,0,1,1,0,0.67,0.00,0.67,0.67,0.67,1.8,1.0,0.2,1.2,0.59,0.08,0.67,0.32,0.40
Salis Abdul Samed,MF,Ghana,22-264,Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
Salman Al-Faraj,MF,Saudi Arabia,33-136,Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Sam Adekugbe,DF,Canada,27-333,Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.09,0.09,0.00,0.09
Saman Ghoddos,MF,IR Iran,29-100,Brentford,1993,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.36,0.05,0.41,0.36,0.41
Sami Al-Najei,MF,Saudi Arabia,25-311,Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Samuel Oum Gouet,MF,Cameroon,25-002,Mechelen,1997,2,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Sardar Azmoun,FW,IR Iran,27-348,Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.67,0.05,0.71,0.67,0.71
Saud Abdulhamid,DF,Saudi Arabia,23-150,Al-Hilal,1999,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02
Saša Lukić,MF,Serbia,26-124,Torino,1996,3,3,245,2.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
Sebastian Szymański,MF,Poland,23-219,Feyenoord,1999,2,2,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Sebastián Coates,DF,Uruguay,32-069,Sporting CP,1990,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05
Selim Amallah,MF,Morocco,26-030,Standard Liège,1996,6,4,384,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07
Serge Gnabry,FW,Germany,27-154,Bayern Munich,1995,3,3,263,2.9,1,1,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,1.1,1.1,1.5,2.6,0.37,0.51,0.88,0.37,0.88
Sergej Milinković-Savić,MF,Serbia,27-291,Lazio,1995,3,3,233,2.6,1,0,1,0,0,1,0,0.39,0.00,0.39,0.39,0.39,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07
Sergio Busquets,MF,Spain,34-152,Barcelona,1988,4,4,363,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06
Sergio Rochet,GK,Uruguay,29-267,Nacional,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Sergiño Dest,DF,United States,22-042,Milan,2000,4,4,305,3.4,0,1,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,0.2,0.2,0.5,0.7,0.07,0.15,0.22,0.07,0.22
Shaquell Moore,DF,United States,26-043,Nashville,1996,2,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Shogo Taniguchi,DF,Japan,31-153,Kawa Frontale,1991,2,2,210,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.12,0.00,0.12,0.12,0.12
Shūichi Gonda,GK,Japan,33-287,S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Silvan Widmer,DF,Switzerland,29-285,Mainz 05,1993,3,3,265,2.9,0,1,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,0.0,0.0,0.8,0.9,0.01,0.29,0.30,0.01,0.30
Simon Kjær,DF,Denmark,33-264,Milan,1989,1,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Sofiane Boufal,FW,Morocco,29-089,Angers,1993,6,6,413,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.04,0.07,0.11,0.04,0.11
Sofyan Amrabat,MF,Morocco,26-116,Fiorentina,1996,6,6,570,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
Son Heung-min,FW,Korea Republic,30-160,Tottenham,1992,4,4,360,4.0,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.4,0.4,1.0,1.4,0.11,0.24,0.35,0.11,0.35
Son Jun-ho,MF,Korea Republic,30-217,Shandong Lunen,1992,3,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Sorba Thomas,MF,Wales,23-115,Huddersfield,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Srđan Babić,DF,Serbia,26-237,Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Stefan Mitrović,DF,Serbia,32-207,Getafe,1990,1,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Stephen Eustáquio,MF,Canada,25-359,Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.13,0.11,0.24,0.13,0.24
Steve Mandanda,GK,France,37-262,Rennes,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Steven Berghuis,MF,Netherlands,30-361,Ajax,1991,4,1,200,2.2,0,1,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,0.3,0.3,0.1,0.3,0.13,0.04,0.17,0.13,0.17
Steven Bergwijn,FW,Netherlands,25-068,Ajax,1997,4,3,213,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.21,0.00,0.21,0.21,0.21
Steven Vitória,DF,Canada,35-338,Chaves,1987,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Strahinja Pavlović,DF,Serbia,21-205,RB Salzburg,2001,3,3,235,2.6,1,0,1,0,0,2,0,0.38,0.00,0.38,0.38,0.38,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07
Sultan Al-Ghanam,DF,Saudi Arabia,28-223,Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.12,0.05,0.17,0.12,0.17
Taha Yassine Khenissi,FW,Tunisia,30-343,Kuwait SC,1992,2,0,29,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.06,0.45,0.51,0.06,0.51
Tajon Buchanan,MF,Canada,23-310,Club Brugge,1999,3,3,260,2.9,0,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,0.9,0.9,0.5,1.4,0.33,0.17,0.50,0.33,0.50
Takefusa Kubo,FW,Japan,21-194,Real Sociedad,2001,2,2,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Takehiro Tomiyasu,DF,Japan,24-040,Arsenal,1998,3,1,187,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.11,0.11,0.00,0.11
Takuma Asano,FW,Japan,28-035,Bochum,1994,4,0,165,1.8,1,0,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55,0.7,0.7,0.2,0.9,0.44,0.17,0.60,0.44,0.60
Takumi Minamino,FW,Japan,27-333,Monaco,1995,3,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.36,0.00,0.36,0.36,0.36
